iter	Passed	Remaining
402	15129	14904
403	15160	14860
404	15187	14812
405	15226	14776
406	15263	14738
407	15294	14694
408	15326	14651
409	15357	14607
410	15382	14558
411	15427	14528
412	15485	14510
413	15562	14509
414	15605	14477
415	15643	14439
416	15675	14397
417	15716	14363
418	15746	14318
419	15775	14273
420	15799	14223
421	15826	14176
422	15859	14134
423	15896	14096
424	15926	14052
425	15960	14012
426	16002	13978
427	16033	13935
428	16065	13893
429	16098	13851
430	16141	13819
431	16177	13780
432	16206	13736
433	16234	13690
434	16264	13647
435	16315	13621
436	16348	13580
437	16383	13540
438	16417	13500
439	16457	13465
440	16491	13424
441	16519	13380
442	16546	13333
443	16580	13294
444	16620	13259
445	16652	13217
446	16680	13172
447	16710	13129
448	16749	13093
449	16786	13056
450	16818	13014
451	16855	12976
452	16885	12934
453	16918	12894
454	16952	12853
455	16991	12818
456	17028	12780
457	17065	12743
458	17099	12703
459	17141	12669
460	17171	12627
461	17209	12590
462	17243	12551
463	17273	12508
464	17321	12478
465	17366	12446
466	17411	12415
467	17454	12382
468	17486	12340
469	17519	12301
470	17543	12254
471	17565	12206
472	17595	12164
473	17634	12128
474	17670	12090
475	17704	12050
476	17730	12006
477	17764	11966
478	17801	11929
479	17832	11888
480	17859	11844
481	17891	11804
482	17918	11760
483	17953	11721
484	17990	11684
485	18026	11647
486	18065	11610
487	18108	11577
488	18135	11533
489	18176	11499
490	18221	11467
491	18255	11428
492	18286	11387
493	18311	11342
494	18337	11298
495	18368	11258
496	18396	11215
497	18432	11177
498	18461	11136
499	18490	11094
500	18517	11051
501	18545	11009
502	18579	10970
503	18619	10935
504	18651	10895
505	18685	10856
506	18726	10822
507	18761	10784
508	18801	10749
509	18829	10706
510	18870	10672
511	18904	10633
512	18935	10593
513	18974	10557
514	19006	10518
515	19037	10478
516	19071	10439
517	19104	10400
518	19139	10362
519	19174	10324
520	19202	10283
521	19236	10244
522	19271	10206
523	19313	10172
524	19350	10135
525	19375	10092
526	19402	10050
527	19429	10009
528	19469	9973
529	19495	9931
530	19522	9889
531	19545	9846
532	19573	9805
533	19600	9763
534	19625	9720
535	19649	9678
536	19678	9637
537	19706	9596
538	19733	9555
539	19758	9513
540	19786	9472
541	19818	9433
542	19864	9401
543	19901	9365
544	19935	9327
545	19973	9291
546	20009	9254
547	20042	9216
548	20079	9180
549	20122	9146
550	20149	9105
551	20183	9067
552	20212	9028
553	20250	8992
554	20282	8953
555	20316	8915
556	20350	8878
557	20379	8838
558	20414	8801
559	20446	8762
560	20473	8722
561	20516	8688
562	20553	8652
563	20591	8616
564	20633	8582
565	20676	8548
566	20709	8510
567	20749	8475
568	20799	8444
569	20881	8425
570	20935	8396
571	20980	8362
572	21020	8327
573	21055	8290
574	21094	8254
575	21124	8215
576	21150	8174
577	21179	8134
578	21218	8098
579	21247	8059
580	21281	8021
581	21309	7981
582	21339	7942
583	21364	7902
584	21390	7861
585	21429	7825
586	21459	7786
587	21491	7748
588	21522	7710
589	21551	7670
590	21577	7630
591	21607	7591
592	21644	7555
593	21681	7519
594	21711	7480
595	21747	7443
596	21780	7406
597	21813	7368
598	21840	7328
599	21867	7289
600	21908	7254
601	21940	7216
602	21969	7177
603	22002	7139
604	22034	7102
605	22071	7065
606	22110	7030
607	22138	6991
608	22166	6952
609	22200	6914
610	22226	6875
611	22259	6837
612	22293	6800
613	22331	6764
614	22363	6727
615	22392	6688
616	22421	6650
617	22451	6611
618	22475	6571
619	22521	6538
620	22556	6501
621	22590	6464
622	22622	6427
623	22668	6393
624	22702	6356
625	22730	6318
626	22760	6280
627	22781	6239
628	22832	6207
629	22869	6171
630	22898	6132
631	22929	6095
632	22963	6058
633	22989	6019
634	23025	5983
635	23071	5949
636	23106	5912
637	23130	5873
638	23159	5835
639	23189	5797
640	23220	5759
641	23247	5721
642	23272	5682
643	23302	5644
644	23339	5608
645	23386	5575
646	23434	5541
647	23468	5504
648	23500	5467
649	23533	5430
650	23576	5396
651	23610	5359
652	23641	5322
653	23670	5284
654	23703	5247
655	23731	5209
656	23761	5171
657	23796	5135
658	23827	5098
659	23856	5060
660	23883	5022
661	23910	4984
662	23949	4948
663	23988	4913
664	24034	4879
665	24068	4842
666	24122	4809
667	24160	4774
668	24208	4740
669	24249	4705
670	24281	4668
671	24321	4632
672	24367	4598
673	24402	4561
674	24459	4529
675	24508	4495
676	24572	4464
677	24624	4430
678	24679	4398
679	24721	4362
680	24766	4327
681	24823	4294
682	24866	4259
683	24924	4226
684	24979	4193
685	25020	4157
686	25068	4123
687	25131	4091
688	25181	4056
689	25227	4021
690	25260	3984
691	25291	3947
692	25334	3911
693	25375	3875
694	25414	3839
695	25447	3802
696	25492	3767
697	25538	3731
698	25588	3697
699	25628	3661
700	25662	3624
701	25704	3588
702	25732	3550
703	25764	3513
704	25794	3475
705	25827	3438
706	25894	3406
707	25961	3373
708	26014	3338
709	26059	3303
710	26105	3267
711	26146	3231
712	26176	3194
713	26212	3157
714	26244	3120
715	26285	3083
716	26318	3046
