iter	MultiClass
255	0.5617068431
256	0.5599233497
257	0.5583307743
258	0.5567602501
259	0.5554152986
260	0.5543809294
261	0.5531443331
262	0.5521533095
263	0.5507855778
264	0.5495289488
265	0.5485406906
266	0.5469625954
267	0.5457157348
268	0.544423778
269	0.5438227836
270	0.5428425223
271	0.541640219
272	0.5404132801
273	0.5391551207
274	0.5384827356
275	0.5371518462
276	0.5353466778
277	0.5346841956
278	0.5336053748
279	0.532980443
280	0.5314705668
281	0.5304507708
282	0.5295113402
283	0.5284850146
284	0.5266412349
285	0.5253898433
286	0.5243381902
287	0.5231383919
288	0.5224317241
289	0.5211290955
290	0.5201823388
291	0.5189405509
292	0.5177891578
293	0.5168148877
294	0.5156031586
295	0.5142276552
296	0.5133242548
297	0.5123238793
298	0.5114625906
299	0.5103052153
300	0.5094096895
301	0.5080803597
302	0.5068616844
303	0.5059956236
304	0.505484776
305	0.504527487
306	0.5035093159
307	0.5026747055
308	0.5018320543
309	0.5005001732
310	0.4996205384
311	0.4987164754
312	0.4974801896
313	0.4962542833
314	0.4952746345
315	0.4943546759
316	0.4926305681
317	0.4918582177
318	0.4908647407
319	0.4896808189
320	0.4885047384
321	0.4877023346
322	0.4868634826
323	0.4858246944
324	0.4852622467
325	0.4844575089
326	0.4833267186
327	0.4827293458
328	0.4819025935
329	0.481062144
330	0.4796761132
331	0.478300226
332	0.4772340584
333	0.4767390914
334	0.4757044657
335	0.4747408099
336	0.4737672872
337	0.4729835552
338	0.4723831725
339	0.471283788
340	0.470564824
341	0.4699047403
342	0.4691773335
343	0.4682357332
344	0.4672975193
345	0.4665476153
346	0.4659970878
347	0.465391471
348	0.4648157338
349	0.4639949554
350	0.462684494
351	0.4617363543
352	0.4611564787
353	0.4602478145
354	0.4593654753
355	0.4585367206
356	0.4578670156
357	0.4569371833
358	0.4562022948
359	0.4555222036
360	0.4549236371
361	0.4536739684
362	0.4529519724
363	0.4521994259
364	0.4515523109
365	0.4507889105
366	0.4498175648
367	0.4491023654
368	0.4479224274
369	0.4469814682
370	0.4462279578
371	0.4452975014
372	0.4442646305
373	0.4432838107
374	0.4425915292
375	0.4414876931
376	0.4407454367
377	0.4395449228
378	0.4385393046
379	0.4375486642
380	0.4368064382
381	0.4360778419
382	0.435641724
383	0.4349260326
384	0.4343369117
385	0.4333723341
386	0.4326838499
387	0.4318951297
388	0.4312267823
389	0.4305227683
390	0.4297208579
391	0.4286568964
392	0.4271922807
393	0.4264219599
394	0.4254568065
395	0.4250541169
396	0.4240040526
397	0.42354194
398	0.4230228452
399	0.422436544
400	0.4215000153
401	0.4203760731
402	0.4196265783
403	0.4190847191
404	0.4184854962
405	0.4177531457
406	0.4169910365
407	0.4164795075
408	0.4161043372
409	0.4154323324
410	0.4144551324
411	0.4137710833
412	0.4127830466
413	0.4118454039
414	0.4113808061
415	0.4105749047
416	0.4094735499
417	0.4088622543
418	0.4081911924
419	0.4078293029
420	0.4070153846
421	0.4061134108
422	0.4053724651
423	0.4049583052
424	0.4041295608
425	0.4032855724
426	0.4026228149
427	0.4018374222
428	0.4009600169
429	0.400057289
430	0.3993688961
431	0.3986968158
432	0.3977699818
433	0.3971282457
434	0.3961122653
435	0.3955581628
436	0.394525164
437	0.3938142212
438	0.393148569
439	0.3924250488
440	0.3918347248
441	0.3908925858
442	0.3899760843
443	0.3890708227
444	0.3886368223
445	0.3881319136
446	0.3873802947
447	0.3864256326
448	0.3853818844
449	0.3848634688
450	0.3839054112
451	0.3832802228
452	0.3824223551
453	0.3813730889
454	0.3809038261
455	0.380189918
456	0.3796111424
457	0.3791131505
458	0.3787197935
459	0.3779919754
460	0.3773691026
461	0.3770186364
462	0.3763935766
463	0.3755739723
464	0.3750528961
465	0.3744520737
466	0.3739164556
467	0.3733426428
468	0.3730914926
469	0.3723124227
470	0.3712782762
471	0.3708322705
472	0.3699786375
473	0.3694526094
474	0.3687883132
475	0.3680218735
476	0.3672785183
477	0.3668621352
478	0.3662015664
479	0.3656034174
480	0.3652080762
481	0.3644835879
482	0.3637689872
483	0.3630152213
484	0.3626774853
485	0.3621061632
486	0.3614215152
487	0.3608080754
488	0.3602632674
489	0.3594346321
490	0.3590116226
491	0.3585279273
492	0.3577472662
493	0.3572127888
494	0.3566378494
495	0.3560104797
496	0.3552270074
497	0.3548725961
498	0.3544426116
499	0.3540323364
500	0.3533096409
501	0.3529435318
502	0.352439965
503	0.351719796
504	0.3511319805
505	0.3504566402
506	0.3498748042
507	0.3493295853
508	0.3486715196
509	0.3481428567
510	0.347793169
511	0.3472966951
512	0.346769908
513	0.3463344589
514	0.3459611975
515	0.3452756238
516	0.3450426914
517	0.3444406828
518	0.3439030539
519	0.3432309341
520	0.3427544501
521	0.3421898508
522	0.3416231529
523	0.340747407
524	0.340048441
525	0.3396210449
526	0.3388951712
527	0.3382294576
528	0.3374495014
529	0.3370266748
530	0.3363736943
531	0.3353939636
532	0.3350998582
533	0.3345911403
534	0.334040271
535	0.3329369327
536	0.3323075532
537	0.3317949097
538	0.3311681554
539	0.3307411487
540	0.3300174104
541	0.3291864946
542	0.3285451156
543	0.3280271983
544	0.3274550214
545	0.3268174453
546	0.3261914435
547	0.3256947184
548	0.3251655131
549	0.3246392073
550	0.32409574
551	0.3235657177
552	0.3230465208
553	0.3226170383
554	0.3220811676
555	0.3218057299
556	0.3212703921
557	0.3208634639
558	0.3201370333
559	0.3197416084
560	0.3192721377
561	0.3187985477
562	0.3184952112
563	0.3181215039
564	0.317225581
565	0.3167325408
566	0.3161126747
567	0.3155670557
568	0.315060306
569	0.3145651559
570	0.3141038728
571	0.3132636504
572	0.3128172807
573	0.3121104948
574	0.3113138575
575	0.3110341231
576	0.3108089654
577	0.3101615917
578	0.3096374253
579	0.3091818588
580	0.3086084565
581	0.3081808938
582	0.307865966
583	0.3071808059
584	0.3066616548
585	0.3064256256
586	0.3058883968
587	0.3055579914
588	0.3051107746
589	0.3046640679
590	0.3042741443
591	0.3039075044
592	0.3034819102
593	0.3030121868
594	0.3023967031
595	0.3018631132
596	0.3015871459
597	0.3012218204
598	0.3006790484
599	0.3000035073
600	0.2995470642
601	0.2989747954
602	0.2983720411
603	0.2979429892
604	0.2973691232
605	0.296909562
606	0.2966106866
607	0.2962364692
608	0.2958149793
609	0.2955542278
610	0.2949227134
611	0.29465383
612	0.2941713328
613	0.2936140556
614	0.2931789044
615	0.2926664631
616	0.292338781
617	0.2918408468
618	0.291519285
619	0.2911263446
620	0.2909283293
621	0.2905332494
622	0.2898336605
623	0.289601227
624	0.2892482351
625	0.288913528
626	0.2884954111
627	0.2879346859
628	0.2874309713
629	0.287083698
630	0.2866617205
631	0.2861081931
632	0.2856612338
633	0.2851371228
634	0.2848836006
635	0.2842183661
636	0.2837693569
637	0.2833571372
638	0.282942855
639	0.2824856549
640	0.2820250637
641	0.2818306483
642	0.2812942488
643	0.2808155857
644	0.2802235849
645	0.2796809416
646	0.2790604841
647	0.2786364792
648	0.2780148731
649	0.2773567236
650	0.2769073964
651	0.2764752658
652	0.2761664652
653	0.2757452173
654	0.2752202667
655	0.2749341208
656	0.2743425068
657	0.273760083
658	0.2730184315
659	0.2726274658
660	0.2722182499
661	0.2717845173
662	0.2713383512
663	0.2709826118
664	0.2706803248
665	0.270256942
666	0.2697788393
667	0.2691707768
668	0.2688514781
669	0.2686557949
670	0.2681575226
671	0.267846373
672	0.2674696594
673	0.267190259
674	0.2665960776
675	0.2662124356
676	0.2659476177
677	0.2656754371
678	0.2651519302
679	0.2645604128
680	0.2641266594
681	0.2635645424
682	0.2631822519
683	0.2627296351
684	0.2622490966
685	0.2618502942
686	0.2614920661
687	0.2610906695
688	0.2604265758
689	0.259912133
690	0.2594987718
691	0.2591487866
692	0.25877505
693	0.258411918
694	0.257911076
695	0.257626373
696	0.2572443429
697	0.2568632059
698	0.2566340151
699	0.2562739887
700	0.2558786512
701	0.2552776542
702	0.2548027124
703	0.2544232389
704	0.2540919495
705	0.25378524
706	0.2534235101
707	0.253135511
708	0.2529083924
709	0.2525896877
710	0.2519908837
711	0.2516220794
712	0.2513644228
713	0.2510741465
714	0.250813348
715	0.2504880202
716	0.2499528339
717	0.2496571949
718	0.2494880565
719	0.2493712894
720	0.2490077745
721	0.2485995986
722	0.2482926554
723	0.247831785
724	0.2474181362
725	0.2470155061
726	0.2467955355
727	0.2465859494
728	0.2462697691
729	0.2457671436
730	0.24546316
731	0.2449493165
732	0.2447269749
733	0.244448793
734	0.244173765
735	0.2439420961
736	0.2436896541
737	0.2434057047
738	0.24311095
739	0.2426103728
740	0.2420524061
741	0.2416063067
742	0.2411589907
743	0.2407734491
744	0.2401621869
745	0.2397501414
746	0.2395334768
747	0.2390944367
748	0.2389038457
749	0.2385034533
750	0.2380548111
751	0.2378885137
752	0.2373307906
753	0.2369370419
754	0.2367719125
755	0.2364625847
756	0.2362715195
757	0.235741762
758	0.2354597225
759	0.2351365744
760	0.2348130077
761	0.2346065209
762	0.234303515
763	0.2340149796
764	0.2337698662
765	0.2334545084
766	0.2330123927
767	0.2325163604
768	0.2319717735
769	0.2316694738
770	0.2311371846
771	0.2307820015
772	0.2303691843
773	0.2298958725
774	0.2296102979
775	0.2293191458
776	0.2290391426
777	0.2287069612
778	0.2282936306
779	0.2279724693
780	0.2275778139
781	0.2272719828
782	0.2269441359
783	0.2267223444
784	0.2263108199
785	0.2258782923
786	0.2255224421
787	0.2250313144
788	0.2246583884
789	0.2243299704
790	0.2238894581
791	0.223560909
792	0.2231638698
793	0.2228630548
794	0.2224725765
795	0.2222364753
796	0.2218470384
797	0.2215145514
798	0.2211479819
799	0.2208034637
